"","plot","type","time","rotation","sample_id","rep","sampling_date","tin.num","Tin.mass","Wet.mass","Dry.mass","percent_wc","dna_extraction_date","Set","R1.Mass","R1.Conc","R2.Mass","R2.Conc","R3.Mass","R3.Conc","Notes","pcr1_euk_date","Successes","Conc.ng.ul","pcr2_euk_date","Euk.BC.Well","Conc.","pcr1_bac_date","Successes.1","Conc..1","pcr2_bac_date","Bac.BC.Well","Conc..2","bacteria_barcode","week","DNA_ng.ul"
"1",131,"bulk",0,"CSSwP","T0U1",1,"6/25/2021",1,31.32,51.27,49.13,0.120157215,"9/28/2021",0,0.25,84.625,0.25,83.851,0.25,105,NA,"2/3/2021",3,91.15866667,"2/5/2021","BC01",10.5,"2/22/2022",3,7.501,"3/2/2022","BC01",17.551,"barcode01",0,91.1586666666667
"2",131,"bulk",1,"CSSwP","T1U1",1,"7/2/2021",1,31.27,40,39.13,0.110687023,"12/6/2021",14,0.25,87.569,0.25,97.716,0.25,80.314,NA,"2/3/2021",3,88.533,"2/5/2021","BC02",10.5,"2/22/2022",3,5.227,"3/2/2022","BC02",17.816,"barcode02",1,88.533
"3",131,"bulk",2,"CSSwP","T2U1",1,"7/9/2021",1,31.3,47.25,45.39,0.132008517,"12/1/2021",13,0.25,95.268,0.25,105,0.25,100.944,NA,"2/3/2021",3,100.404,"2/5/2021","BC03",10.5,"2/22/2022",3,7.698,"3/2/2022","BC03",18.345,"barcode03",2,100.404
"4",131,"bulk",3,"CSSwP","T3U1",1,"7/23/2021",1,31.29,63.68,60.49,0.109246575,"11/9/2021",11,0.25,77.833,0.25,105,0.25,105,NA,"2/3/2021",3,95.94433333,"2/5/2021","BC04",10.5,"2/22/2022",3,5.209,"3/2/2022","BC04",15.431,"barcode04",4,95.9443333333333
"5",131,"bulk",4,"CSSwP","T4U1",1,"8/20/2021",9,29.83,40.39,38.64,0.198637911,"12/1/2021",13,0.25,83.267,0.25,105,0.25,73.159,NA,"2/3/2021",3,87.142,"2/5/2021","BC05",8.061,"2/22/2022",3,5.281,"3/2/2022","BC05",14.637,"barcode05",8,87.142
"6",131,"bulk",5,"CSSwP","T5U1",1,"9/17/2021",9,29.83,42.36,40.04,0.227228208,"11/4/2021",8,0.25,71.889,0.25,85.085,0.25,74.618,NA,"2/3/2021",3,77.19733333,"2/5/2021","BC06",9.575,"2/22/2022",3,4.976,"3/2/2022","BC06",10.663,"barcode06",12,77.1973333333333
"7",131,"bag",1,"CSSwP","T1A1",1,"7/2/2021",9,29.85,37.28,36.89,0.055397727,"9/28/2021",1,0.25,9.62,0.25,11.999,0.25,9.255,NA,"2/3/2021",3,10.29133333,"2/5/2021","BC07",9.919,"2/22/2022",3,6.711,"3/2/2022","BC07",10.374,"barcode07",1,10.2913333333333
"8",131,"bag",2,"CSSwP","T2A1",1,"7/9/2021",9,29.85,39.51,38.98,0.058050383,"11/2/2021",6,0.25,10.922,0.25,14.114,0.25,11.408,NA,"2/3/2021",3,12.148,"2/5/2021","BC08",10.5,"2/22/2022",3,8.545,"3/2/2022","BC08",8.721,"barcode08",2,12.148
"9",131,"bag",3,"CSSwP","T3A1",1,"7/23/2021",9,29.84,38.55,38.13,0.05066345,"11/4/2021",8,0.25,22.357,0.25,23.161,0.25,18.632,NA,"2/3/2021",3,21.38333333,"2/5/2021","BC09",9.738,"2/22/2022",3,7.004,"3/2/2022","BC09",14.093,"barcode09",4,21.3833333333333
"10",131,"bag",4,"CSSwP","T4A1",1,"8/20/2021",1,31.29,41.44,40.25,0.1328125,"11/9/2021",11,0.25,17.552,0.25,18.198,0.25,17.911,NA,"2/3/2021",3,17.887,"2/5/2021","BC10",10.5,"2/22/2022",3,7.257,"3/2/2022","BC10",14.506,"barcode10",8,17.887
"11",131,"bag",5,"CSSwP","T5A1",1,"9/17/2021",1,31.28,44.62,42.44,0.195340502,"12/13/2021",16,0.25,16.906,0.25,18.126,0.25,13.244,NA,"2/3/2021",3,16.092,"2/5/2021","BC11",10.184,"2/22/2022",3,6.711,"3/2/2022","BC11",12.853,"barcode11",12,16.092
"12",133,"bulk",0,"CS","T0U2",1,"6/25/2021",2,37.02,57.43,54.89,0.142137661,"9/28/2021",0,0.25,105,0.25,105,0.25,97.401,NA,"2/3/2021",3,102.467,"2/5/2021","BC13",10.5,"2/22/2022",3,8.002,"3/2/2022","BC13",13.047,"barcode13",0,102.467
"13",133,"bulk",1,"CS","T1U2",1,"7/2/2021",2,36.9,45.31,44.33,0.131897712,"12/10/2021",15,0.25,105,0.25,105,0.25,105,NA,"2/3/2021",3,105,"2/5/2021","BC14",8.293,"2/22/2022",3,6.265,"3/2/2022","BC14",14.901,"barcode14",1,105
"14",133,"bulk",2,"CS","T2U2",1,"7/9/2021",2,36.94,53.23,51.28,0.135983264,"12/10/2021",15,0.25,105,0.25,105,0.25,105,NA,"2/3/2021",3,105,"2/5/2021","BC15",10.5,"2/22/2022",3,6.623,"3/2/2022","BC15",9.073,"barcode15",2,105
