,time,week,type,rotation_R2,residual_R2,rotation_p_value,amplicon
1,0,0,bulk,0.154762737,0.845237263,0.195,bacteria_2020
2,1,1,bulk,0.150673958,0.849326042,0.277,bacteria_2020
3,2,2,bulk,0.148363466,0.851636534,0.327,bacteria_2020
4,3,4,bulk,0.180735648,0.819264352,0.037,bacteria_2020
5,4,8,bulk,0.149490106,0.850509894,0.328,bacteria_2020
6,5,12,bulk,0.145636003,0.854363997,0.332,bacteria_2020
7,1,1,bag,0.168807258,0.831192742,0.084,bacteria_2020
8,2,2,bag,0.181576535,0.818423465,0.027,bacteria_2020
9,3,4,bag,0.16055478,0.83944522,0.022,bacteria_2020
10,4,8,bag,0.159784286,0.840215714,0.137,bacteria_2020
11,5,12,bag,0.175133775,0.824866225,0.025,bacteria_2020
