"","time","week","type","rotation_R2","residual_R2","rotation_p_value"
"1",0,0,"bulk",0.197531950046795,0.802468049953205,0.056
"2",1,1,"bulk",0.145717964402269,0.854282035597731,0.371
"3",2,2,"bulk",0.15296696096843,0.84703303903157,0.302
"4",3,4,"bulk",0.153647941519152,0.846352058480848,0.229
"5",4,8,"bulk",0.165526437333199,0.834473562666802,0.154
"6",5,12,"bulk",0.146398604487851,0.853601395512149,0.327
"7",1,1,"bag",0.201709480968197,0.798290519031803,0.091
"8",2,2,"bag",0.160281910341973,0.839718089658027,0.196
"9",3,4,"bag",0.1771009713409,0.8228990286591,0.056
"10",4,8,"bag",0.212793165266377,0.787206834733623,0.035
"11",5,12,"bag",0.165973939521198,0.834026060478802,0.114
