tax_id,species,genus,family,order,class,phylum,clade,estimated_counts
658062,Candidatus Koribacter versatilis,Candidatus Koribacter,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,,9415.3469967721
1612172,Vicinamibacter silvestris,Vicinamibacter,Vicinamibacteraceae,,Vicinamibacteria,Acidobacteria,,40566.3512534021
1325564,Nitrospira japonica,Nitrospira,Nitrospiraceae,Nitrospirales,Nitrospira,Nitrospirae,,8913.35772963821
2036016,Bacillus endozanthoxylicus,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,931.81405752191
191863,Chthoniobacter flavus,Chthoniobacter,Chthoniobacteraceae,Chthoniobacterales,Spartobacteria,Verrucomicrobia,PVC group,41798.6558089848
125,Pirellula staleyi,Pirellula,Pirellulaceae,Pirellulales,Planctomycetia,Planctomycetes,PVC group,935.622189552721
331696,Pseudolabrys taiwanensis,Pseudolabrys,Xanthobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,,9875.42308940102
53635,Acidimicrobium ferrooxidans,Acidimicrobium,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinobacteria,Terrabacteria group,1870.20944901113
690879,Terrimicrobium sacchariphilum,Terrimicrobium,Terrimicrobiaceae,Terrimicrobiales,Terrimicrobia,Verrucomicrobia,PVC group,4506.57528186264
777,Coxiella burnetii,Coxiella,Coxiellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,,42.2175938752214
1560324,Arenimicrobium luteum,Arenimicrobium,Pyrinomonadaceae,Blastocatellales,Blastocatellia,Acidobacteria,,5065.53702305128
467091,Ilumatobacter fluminis,Ilumatobacter,Ilumatobacteraceae,Acidimicrobiales,Acidimicrobiia,Actinobacteria,Terrabacteria group,2281.63828364539
1324935,Limisphaera ngatamarikiensis,Limisphaera,Verrucomicrobia subdivision 3,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,PVC group,6700.61634251155
912552,Conexibacter arvalis,Conexibacter,Conexibacteraceae,Solirubrobacterales,Thermoleophilia,Actinobacteria,Terrabacteria group,2848.40061115017
1473598,Paludibaculum fermentans,Paludibaculum,Bryobacteraceae,Bryobacterales,Acidobacteriia,Acidobacteria,,1156.54614793745
454194,Pyrinomonas methylaliphatogenes,Pyrinomonas,Pyrinomonadaceae,Blastocatellales,Blastocatellia,Acidobacteria,,98.229467922222
332163,Candidatus Solibacter usitatus,Candidatus Solibacter,Solibacteraceae,Bryobacterales,Acidobacteriia,Acidobacteria,,8547.43859774288
1546155,Tepidisphaera mucosa,Tepidisphaera,Tepidisphaeraceae,Tepidisphaerales,Phycisphaerae,Planctomycetes,PVC group,4850.86678557636
1813871,Panacibacter ginsenosidivorans,Panacibacter,Chitinophagaceae,Chitinophagales,Chitinophagia,Bacteroidetes,FCB group,1776.61329625037
1640865,Parviterribacter kavangonensis,Parviterribacter,Parviterribacteraceae,Solirubrobacterales,Thermoleophilia,Actinobacteria,Terrabacteria group,2700.40418656223
1002870,Gaiella occulta,Gaiella,Gaiellaceae,Gaiellales,Rubrobacteria,Actinobacteria,Terrabacteria group,66503.9771441238
450367,[Brevibacterium] frigoritolerans,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,648.434216460452
239935,Akkermansia muciniphila,Akkermansia,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,PVC group,7030.49888313992
486398,Bacillus sp. S3,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,803.298452850597
869279,Thermanaerothrix daxensis,Thermanaerothrix,Anaerolineaceae,Anaerolineales,Anaerolineae,Chloroflexi,Terrabacteria group,112.671238875264
400768,Microlunatus panaciterrae,Microlunatus,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Terrabacteria group,6141.51247249272
490573,Solirubrobacter ginsenosidimutans,Solirubrobacter,Solirubrobacteraceae,Solirubrobacterales,Thermoleophilia,Actinobacteria,Terrabacteria group,5133.02030594153
1904640,Betaproteobacteria bacterium GR16-43,,,,Betaproteobacteria,Proteobacteria,,3117.21100825194
674703,Rhodoplanes sp. Z2-YC6860,Rhodoplanes,Hyphomicrobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,,8028.98284255008
1193713,Neobacillus mesonae,Neobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,582.801295750246
192994,Thermoleophilum minutum,Thermoleophilum,Thermoleophilaceae,Thermoleophilales,Thermoleophilia,Actinobacteria,Terrabacteria group,744.849329974484
393310,Skermanella aerolata,Skermanella,Rhodospirillaceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,,775.520296905612
1837343,Paenibacillus qinlingensis,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,930.76329307194
1274631,Bradyrhizobium icense,Bradyrhizobium,Bradyrhizobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,,1254.26390830012
406548,Aquisphaera giovannonii,Aquisphaera,Isosphaeraceae,Isosphaerales,Planctomycetia,Planctomycetes,PVC group,1672.91840550473
1603870,Brevitalea deliciosa,Brevitalea,Pyrinomonadaceae,Blastocatellales,Blastocatellia,Acidobacteria,,4436.66344075258
1908690,Fimbriiglobus ruber,Fimbriiglobus,Gemmataceae,Gemmatales,Planctomycetia,Planctomycetes,PVC group,2265.78991600077
1705717,Patulibacter brassicae,Patulibacter,Patulibacteraceae,Solirubrobacterales,Thermoleophilia,Actinobacteria,Terrabacteria group,1878.04278531021
191495,Conexibacter woesei,Conexibacter,Conexibacteraceae,Solirubrobacterales,Thermoleophilia,Actinobacteria,Terrabacteria group,2090.81237524517
1097667,Patulibacter medicamentivorans,Patulibacter,Patulibacteraceae,Solirubrobacterales,Thermoleophilia,Actinobacteria,Terrabacteria group,1175.43005382794
1379270,Gemmatimonas phototrophica,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadales,Gemmatimonadetes,Gemmatimonadetes,FCB group,2905.39132689206
467976,Iamia majanohamensis,Iamia,Iamiaceae,Acidimicrobiales,Acidimicrobiia,Actinobacteria,Terrabacteria group,1051.9705260425
1897628,Rhodoplanes azumiensis,Rhodoplanes,Hyphomicrobiaceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,,1247.22216633817
732238,Povalibacter uvarum,Povalibacter,Steroidobacteraceae,Nevskiales,Gammaproteobacteria,Proteobacteria,,4483.94116409881
29405,Microlunatus phosphovorus,Microlunatus,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Terrabacteria group,9041.07098921086
1650658,Actinobacteria bacterium IMCC26256,,,,Actinobacteria,Actinobacteria,Terrabacteria group,2778.50851186671
1052257,Aquihabitans daechungensis,Aquihabitans,Iamiaceae,Acidimicrobiales,Acidimicrobiia,Actinobacteria,Terrabacteria group,2056.86460862775
2211140,Acidisarcina polymorpha,Acidisarcina,Acidobacteriaceae,Acidobacteriales,Acidobacteriia,Acidobacteria,,1630.08217259151
1178515,Paenibacillus swuensis,Paenibacillus,Paenibacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,527.674635800441
1404,Bacillus megaterium,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,4758.63986051561
360055,Zavarzinella formosa,Zavarzinella,Gemmataceae,Gemmatales,Planctomycetia,Planctomycetes,PVC group,2872.59069645601
1737571,Bacillus oryzisoli,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,800.894440101121
1838286,Lacunisphaera limnophila,Lacunisphaera,Opitutaceae,Opitutales,Opitutae,Verrucomicrobia,PVC group,437.907111337271
694315,Kofleria flava,Kofleria,Kofleriaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,,1126.23511363131
2528021,Planctomycetes bacterium ETA_A8,,,,,Planctomycetes,PVC group,2489.89024701622
1855912,Luteitalea pratensis,Luteitalea,Vicinamibacteraceae,,Vicinamibacteria,Acidobacteria,,15992.8221934435
667306,Aciditerrimonas ferrireducens,Aciditerrimonas,Acidimicrobiaceae,Acidimicrobiales,Acidimicrobiia,Actinobacteria,Terrabacteria group,4332.44337955447
2562284,Pseudolabrys sp. FHR47,Pseudolabrys,Xanthobacteraceae,Rhizobiales,Alphaproteobacteria,Proteobacteria,,2363.39166712119
352858,Bacillus sp. Y1,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,1041.15222438932
1391654,Labilithrix luteola,Labilithrix,Labilitrichaceae,Myxococcales,Deltaproteobacteria,Proteobacteria,,1972.52223867799
1384459,Methyloceanibacter caenitepidi,Methyloceanibacter,,Rhizobiales,Alphaproteobacteria,Proteobacteria,,5277.83283086767
1630693,Gemmata sp. SH-PL17,Gemmata,Gemmataceae,Gemmatales,Planctomycetia,Planctomycetes,PVC group,1305.46097323417
421767,Peribacillus butanolivorans,Peribacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,15.4394759107062
2170729,Methyloceanibacter sp. wino2,Methyloceanibacter,,Rhizobiales,Alphaproteobacteria,Proteobacteria,,3053.50837653863
2014610,Roseisolibacter agri,Roseisolibacter,Gemmatimonadaceae,Gemmatimonadales,Gemmatimonadetes,Gemmatimonadetes,FCB group,2704.26128125395
861299,Gemmatirosa kalamazoonesis,Gemmatirosa,Gemmatimonadaceae,Gemmatimonadales,Gemmatimonadetes,Gemmatimonadetes,FCB group,5927.17643933955
173480,Gemmatimonas aurantiaca,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadales,Gemmatimonadetes,Gemmatimonadetes,FCB group,2538.50913159308
1933902,Rubrobacter spartanus,Rubrobacter,Rubrobacteraceae,Rubrobacterales,Rubrobacteria,Actinobacteria,Terrabacteria group,1728.55998669759
496014,Baekduia soli,Baekduia,Baekduiaceae,Rubrobacterales,Rubrobacteria,Actinobacteria,Terrabacteria group,3461.97485652633
220685,Neobacillus bataviensis,Neobacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,1206.31677813931
1458336,Brevitalea aridisoli,Brevitalea,Pyrinomonadaceae,Blastocatellales,Blastocatellia,Acidobacteria,,2809.93457302666
254247,Aquicella siphonis,Aquicella,Coxiellaceae,Legionellales,Gammaproteobacteria,Proteobacteria,,651.476661142084
1397,Bacillus circulans,Bacillus,Bacillaceae,Bacillales,Bacilli,Firmicutes,Terrabacteria group,2533.41194121136
81032,Hyphomonas neptunium,Hyphomonas,Hyphomonadaceae,Rhodobacterales,Alphaproteobacteria,Proteobacteria,,846.064308001006
643672,Singulisphaera rosea,Singulisphaera,Isosphaeraceae,Isosphaerales,Planctomycetia,Planctomycetes,PVC group,1844.51350022047
755171,Peptoniphilus tyrrelliae,Peptoniphilus,Peptoniphilaceae,Tissierellales,Tissierellia,Firmicutes,Terrabacteria group,192.106415766347
363863,Microlunatus ginsengisoli,Microlunatus,Propionibacteriaceae,Propionibacteriales,Actinobacteria,Actinobacteria,Terrabacteria group,3561.71202876214
