,time,week,type,rotation_R2,residual_R2,rotation_p_value,amplicon
1,0,0,bulk,0.201475611,0.798524389,0.034,fungi_2020
2,1,1,bulk,0.206490977,0.793509023,0.03,fungi_2020
3,2,2,bulk,0.198778826,0.801221174,0.03,fungi_2020
4,3,4,bulk,0.223684605,0.776315395,0.024,fungi_2020
5,4,8,bulk,0.195179577,0.804820423,0.034,fungi_2020
6,5,12,bulk,0.217345295,0.782654705,0.031,fungi_2020
7,1,1,bag,0.202240635,0.797759365,0.031,fungi_2020
8,2,2,bag,0.206407347,0.793592653,0.034,fungi_2020
9,3,4,bag,0.177299169,0.822700831,0.019,fungi_2020
10,4,8,bag,0.205677715,0.794322285,0.031,fungi_2020
11,5,12,bag,0.186210057,0.813789943,0.056,fungi_2020
