"","time","week","type","rotation_R2","residual_R2","rotation_p_value"
"1",0,0,"bulk",0.239161803482713,0.760838196517287,0.05
"2",1,1,"bulk",0.211409620988302,0.788590379011698,0.032
"3",2,2,"bulk",0.211235689144655,0.788764310855345,0.033
"4",3,4,"bulk",0.206171423773702,0.793828576226298,0.024
"5",4,8,"bulk",0.238768598194859,0.76123140180514,0.032
"6",5,12,"bulk",0.229102178152406,0.770897821847594,0.034
"7",1,1,"bag",0.205594843226532,0.794405156773468,0.099
"8",2,2,"bag",0.248935156570219,0.751064843429781,0.026
"9",3,4,"bag",0.177527948444212,0.822472051555788,0.06
"10",4,8,"bag",0.208727922491334,0.791272077508666,0.029
"11",5,12,"bag",0.214532982941314,0.785467017058686,0.027
