,,taxon_name,ref_id,sh_id,rep,kingdom,phylum,class,order,family,genus,species,taxon_name_sh,primary_lifestyle,secondary_lifestyle,nematode_feeding,nematode_ecology,decay_type,growth_form,,,,
1,1,Spizellomycetales_sp,UDB07389087,SH1187559.09FU,reps,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetales_fam_Incertae_sedis,Spizellomycetales_gen_Incertae_sedis,Spizellomycetales_sp,Spizellomycetales_sp_SH1187559.09FU,NA,NA,,,NA,NA,,,,
2,2,Sordariales_sp,UDB0607622,SH0995733.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_fam_Incertae_sedis,Sordariales_gen_Incertae_sedis,Sordariales_sp,Sordariales_sp_SH0995733.09FU,NA,NA,,,NA,NA,,,,
3,3,Paraglomerales_sp,KY242683,SH0899019.09FU,reps,Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,Paraglomerales_fam_Incertae_sedis,Paraglomerales_gen_Incertae_sedis,Paraglomerales_sp,Paraglomerales_sp_SH0899019.09FU,arbuscular_mycorrhizal,NA,,,NA,NA,,,,
4,5,Mortierella_sp,UDB04883449,SH1039268.09FU,reps,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp,Mortierella_sp_SH1039268.09FU,soil_saprotroph,root-associated,,,roots,soil,filamentous_mycelium,,,
5,6,Actinomucor_elegans,JN205828,SH1002491.09FU,refs,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Actinomucor,Actinomucor_elegans,Actinomucor_elegans_SH1002491.09FU,soil_saprotroph,animal_parasite,,,soil,animal_material,filamentous_mycelium,,,
6,9,Podila_minutissima,HQ630323,SH0888026.09FU,refs,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Podila,Podila_minutissima,Podila_minutissima_SH0888026.09FU,unspecified_saprotroph,NA,,,NA,NA,,,,
7,10,Clonostachys_rosea,AF358233,SH1077172.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys_rosea,Clonostachys_rosea_SH1077172.09FU,wood_saprotroph,plant_pathogen,,,wood,leaf/fruit/seed,fungal_material,animal_material,filamentous_mycelium,
8,11,Ascomycota_sp,UDB03395738,SH0919378.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH0919378.09FU,NA,NA,,,NA,NA,,,,
9,12,Pleosporales_sp,HE820879,SH1205335.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Pleosporales_gen_Incertae_sedis,Pleosporales_sp,Pleosporales_sp_SH1205335.09FU,NA,NA,,,NA,NA,,,,
10,13,Humicola_nigrescens,AB625592,SH1240686.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola_nigrescens,Humicola_nigrescens_SH1240686.09FU,wood_saprotroph,NA,,,wood,filamentous_mycelium,,,,
