,,taxon_name,ref_id,sh_id,rep,kingdom,phylum,class,order,family,genus,species,taxon_name_sh,primary_lifestyle,secondary_lifestyle,decay_type,growth_form,,,,
1,1,Phyllactinia_lagerstroemiae,LC177378,SH1153327.09FU,reps,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Phyllactinia,Phyllactinia_lagerstroemiae,Phyllactinia_lagerstroemiae_SH1153327.09FU,plant_pathogen,NA,NA,filamentous_mycelium,,,,
2,5,Leveillula_elaeagni,AB042642,SH1028945.09FU,refs,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Leveillula,Leveillula_elaeagni,Leveillula_elaeagni_SH1028945.09FU,plant_pathogen,NA,NA,filamentous_mycelium,,,,
3,6,Acremonium_sp,UDB0836952,SH0885423.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_sp,Acremonium_sp_SH0885423.09FU,unspecified_saprotroph,foliar_endophyte,leaf/fruit/seed,soil,dung,animal_material,filamentous_mycelium,
4,7,Agaricales_sp,UDB0896463,SH1124928.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_fam_Incertae_sedis,Agaricales_gen_Incertae_sedis,Agaricales_sp,Agaricales_sp_SH1124928.09FU,NA,NA,NA,NA,,,,
5,8,Pseudogymnoascus_roseus,DQ117451,SH1477560.09FU,refs,Fungi,Ascomycota,Leotiomycetes,Thelebolales,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus_roseus,Pseudogymnoascus_roseus_SH1477560.09FU,soil_saprotroph,NA,soil,filamentous_mycelium,,,,
6,9,Clonostachys_rosea,AF358233,SH1077172.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,Clonostachys_rosea,Clonostachys_rosea_SH1077172.09FU,wood_saprotroph,plant_pathogen,wood,leaf/fruit/seed,fungal_material,animal_material,filamentous_mycelium,
7,10,Onygenales_sp,HG328122,SH0945181.09FU,reps,Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenales_fam_Incertae_sedis,Onygenales_gen_Incertae_sedis,Onygenales_sp,Onygenales_sp_SH0945181.09FU,NA,NA,NA,NA,,,,
8,11,Disciseda_cervina,MN338569,SH0948384.09FU,reps,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Disciseda,Disciseda_cervina,Disciseda_cervina_SH0948384.09FU,soil_saprotroph,NA,soil,filamentous_mycelium,,,,
9,12,Sagenomella_oligospora,LT633929,SH0997120.09FU,refs,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,Sagenomella_oligospora,Sagenomella_oligospora_SH0997120.09FU,unspecified_saprotroph,NA,NA,filamentous_mycelium,,,,
10,13,Humicola_nigrescens,AB625592,SH1240686.09FU,refs,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola_nigrescens,Humicola_nigrescens_SH1240686.09FU,wood_saprotroph,NA,wood,filamentous_mycelium,,,,
11,14,Rhizophydiales_sp,UDB06469855,SH1209399.09FU,reps,Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Rhizophydiales_fam_Incertae_sedis,Rhizophydiales_gen_Incertae_sedis,Rhizophydiales_sp,Rhizophydiales_sp_SH1209399.09FU,NA,NA,NA,NA,,,,
12,15,Bipolaris_sp,HE820842,SH0984654.09FU,reps,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Bipolaris_sp,Bipolaris_sp_SH0984654.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,filamentous_mycelium,,,,
13,17,Ascomycota_sp,UDB03395738,SH0919378.09FU,reps,Fungi,Ascomycota,Ascomycota_cls_Incertae_sedis,Ascomycota_ord_Incertae_sedis,Ascomycota_fam_Incertae_sedis,Ascomycota_gen_Incertae_sedis,Ascomycota_sp,Ascomycota_sp_SH0919378.09FU,NA,NA,NA,NA,,,,
14,18,Fusarium_solani,KT899477,SH0937619.09FU,reps,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_solani,Fusarium_solani_SH0937619.09FU,plant_pathogen,litter_saprotroph,leaf/fruit/seed,roots,soil,animal_material,filamentous_mycelium,
