plot_number,type,time,sample_id,sample_date,weed_pres,weed_spp,soil_wet_mass_g,soil_dry_mass_g,percent_wc,dna_extraction_date,bacteria_barcode,fungi_barcode,rotation,week
,exn_nc,NT,blank_extraction,,,,,,,12/3/2020,barcode24,barcode24,NA,
,pcr_nc,NT,pcr1,,,,,,,,barcode36,barcode72,NA,
,pcr_nc,NT,pcr2,,,,,,,,barcode60,barcode96,NA,
sterilesoil,bag_soil,0,S0A1,6/23/2020,,,6.026,5.928,0.017,11/12/2020,barcode01,barcode01,NA,0
113,bulk,0,S0U1,6/23/2020,,,6.047,5.273,0.147,11/12/2020,barcode13,barcode13,CSCS,0
118,bulk,0,S0U2,6/23/2020,,,6.046,5.22,0.158,11/12/2020,barcode25,barcode25,CSSwP,0
213,bulk,0,S0U3,6/23/2020,,,6.067,5.262,0.153,11/12/2020,barcode37,barcode37,CSSwP,0
230,bulk,0,S0U4,6/23/2020,,,6.036,5.26,0.148,11/12/2020,barcode49,barcode49,CSCS,0
310,bulk,0,S0U5,6/23/2020,,,6.046,5.381,0.124,11/12/2020,barcode61,barcode61,CSCS,0
314,bulk,0,S0U6,6/23/2020,,,6.065,5.4,0.123,11/17/2020,barcode73,barcode73,CSSwP,0
426,bulk,0,S0U7,6/23/2020,,,6.03,5.25,0.149,11/17/2020,barcode85,barcode85,CSSwP,0
427,bulk,0,S0U8,6/23/2020,,,6.023,5.218,0.154,11/17/2020,barcode02,barcode02,CSCS,0
113,bag,1,S1A1,6/30/2020,,,6.032,5.365,0.124,11/17/2020,barcode14,barcode14,CSCS,1
118,bag,1,S1A2,6/30/2020,,,6.043,5.418,0.115,11/17/2020,barcode26,barcode26,CSSwP,1
213,bag,1,S1A3,6/30/2020,,,6.046,5.398,0.12,11/17/2020,barcode38,barcode38,CSSwP,1
230,bag,1,S1A4,6/30/2020,,,6.036,5.349,0.128,11/17/2020,barcode50,barcode50,CSCS,1
310,bag,1,S1A5,6/30/2020,,,6.058,5.343,0.134,11/17/2020,barcode62,barcode62,CSCS,1
314,bag,1,S1A6,6/30/2020,,,6.03,5.316,0.134,11/17/2020,barcode74,barcode74,CSSwP,1
