plot,type,time,rotation,sample_id,sampling_date,tin.num,Tin.mass,Wet.mass,Dry.mass,percent_wc,dna_extraction_date,Set,R1 Mass,R1 Conc,R2 Mass,R2 Conc,R3 Mass,R3 Conc,DNA_Conc.ng.ul,Notes,pcr1_euk_date,Successes,pcr2_euk_date,Euk BC Well,Conc.,pcr1_bac_date,Successes,Conc.,pcr2_bac_date,Bac BC Well,Conc.
,sterilesoil,0,,T0A12,6/25/2021, , , , , ,9/28/2021,0,0.25,0,0.25,0,0.25,0,0,Blocks 1-2 T0 Bag Soil,2/3/2021,3,2/5/2021,BC12,0.12,2/22/2022,3,0,3/2/2022,BC12,0
,sterilesoil,0,,T0A34,6/25/2021,,,,,,9/28/2021,0,0.25,0,0.25,0,0.25,0,0,blocks 3-4 T0 Bag Soil,2/3/2021,3,2/5/2021,BC24,0.144,2/22/2022,3,0,3/2/2022,BC24,0
131,bulk,0,CSSwP,T0U1,6/25/2021,1,31.32,51.27,49.13,0.120157215,9/28/2021,0,0.25,84.625,0.25,83.851,0.25,105,91.15866667, ,2/3/2021,3,2/5/2021,BC01,10.5,2/22/2022,3,7.501,3/2/2022,BC01,17.551
133,bulk,0,CSCS,T0U2,6/25/2021,2,37.02,57.43,54.89,0.142137661,9/28/2021,0,0.25,105,0.25,105,0.25,97.401,102.467, ,2/3/2021,3,2/5/2021,BC13,10.5,2/22/2022,3,8.002,3/2/2022,BC13,13.047
217,bulk,0,CSSwP,T0U3,6/25/2021,3,31.46,47.87,46.24,0.110284168,9/28/2021,0,0.25,66.681,0.25,105,0.25,73.854,81.845, ,2/3/2021,3,2/5/2021,BC25,10.5,2/22/2022,3,7.429,3/2/2022,BC25,11.987
220,bulk,0,CSCS,T0U4,6/25/2021,4,27.7,42.39,40.99,0.105342363,9/28/2021,0,0.25,80.889,0.25,105,0.25,104.417,96.76866667, ,2/3/2021,3,2/5/2021,BC37,10.5,2/22/2022,3,7.931,3/2/2022,BC37,12.252
323,bulk,0,CSSwP,T0U5,6/25/2021,5,36.49,50.45,49.28,0.091477717,9/28/2021,1,0.25,87.286,0.25,101.476,0.25,105,97.92066667, ,2/3/2021,3,2/5/2021,BC49,10.5,2/22/2022,3,6.176,3/2/2022,BC49,12.517
332,bulk,0,CSCS,T0U6,6/25/2021,6,27.66,42,40.56,0.111627907,9/28/2021,1,0.25,92.777,0.25,105,0.25,105,100.9256667, ,2/3/2021,3,2/5/2021,BC61,10.5,2/22/2022,3,7.268,3/2/2022,BC61,7.219
411,bulk,0,CSSwP,T0U7,6/25/2021,7,28.38,44.3,43.09,0.082256968,9/28/2021,1,0.25,66.341,0.25,104.59,0.25,105,91.977, ,2/3/2021,3,2/5/2021,BC73,10.5,2/22/2022,3,7.447,3/2/2022,BC73,9.603
434,bulk,0,CSCS,T0U8,6/25/2021,8,36.6,44.04,42.73,0.2137031,9/28/2021,1,0.25,68.209,0.25,105,0.25,90.733,87.98066667, ,2/3/2021,3,2/5/2021,BC85,10.5,2/22/2022,3,7.411,3/2/2022,BC85,5.364
131,bag,1,CSSwP,T1A1,7/2/2021,9,29.85,37.28,36.89,0.055397727,9/28/2021,1,0.25,9.62,0.25,11.999,0.25,9.255,10.29133333, ,2/3/2021,3,2/5/2021,BC07,9.919,2/22/2022,3,6.711,3/2/2022,BC07,10.374
133,bag,1,CSCS,T1A2,7/2/2021,10,27.43,33.96,33.5,0.075782537,9/28/2021,1,0.25,13.074,0.25,17.404,0.25,18.146,16.208, ,2/3/2021,3,2/5/2021,BC19,10.5,2/22/2022,3,6.653,3/2/2022,BC19,13.68
217,bag,1,CSSwP,T1A3,7/2/2021,11,36.5,44.73,44.18,0.071614583,11/1/2021,4,0.25,14.998,0.25,16.581,0.25,14.603,15.394, ,2/3/2021,3,2/5/2021,BC31,10.5,2/22/2022,3,6.535,3/2/2022,BC31,13.266
220,bag,1,CSCS,T1A4,7/2/2021,12,29.36,38.1,37.41,0.085714286,12/6/2021,14,0.25,13.017,0.25,15.582,0.25,11.478,13.359, ,2/3/2021,3,2/5/2021,BC43,10.5,2/22/2022,3,5.56,3/2/2022,BC43,13.68
323,bag,1,CSSwP,T1A5,7/2/2021,13,36.37,43.96,43.59,0.051246537,10/8/2021,2,0.25,9.337,0.25,10.882,0.25,7.796,9.338333333, ,2/3/2021,3,2/5/2021,BC55,10.5,2/22/2022,3,5.95,3/2/2022,BC55,12.647
332,bag,1,CSCS,T1A6,7/2/2021,14,36.62,48.28,47.51,0.070707071,10/8/2021,2,0.25,105,0.25,105,0.25,104.625,104.875, ,2/3/2021,2,2/5/2021,BC67,10.5,2/22/2022,3,6.848,3/2/2022,BC67,7.068
411,bag,1,CSSwP,T1A7,7/2/2021,15,36.4,44.8,44.27,0.067344346,10/8/2021,2,0.25,13.809,0.25,13.82,0.25,12.381,13.33666667, ,2/3/2021,3,2/5/2021,BC79,10.5,2/22/2022,3,7.667,3/2/2022,BC79,12.647
434,bag,1,CSCS,T1A8,7/2/2021,16,36.45,44.1,43.65,0.0625,11/1/2021,4,0.25,10.526,0.25,11.059,0.25,6.129,9.238, ,2/3/2021,3,2/5/2021,BC91,9.018,2/22/2022,3,5.54,3/2/2022,BC91,11.2
131,bulk,1,CSSwP,T1U1,7/2/2021,1,31.27,40,39.13,0.110687023,12/6/2021,14,0.25,87.569,0.25,97.716,0.25,80.314,88.533, ,2/3/2021,3,2/5/2021,BC02,10.5,2/22/2022,3,5.227,3/2/2022,BC02,17.816
133,bulk,1,CSCS,T1U2,7/2/2021,2,36.9,45.31,44.33,0.131897712,12/10/2021,15,0.25,105,0.25,105,0.25,105,105, ,2/3/2021,3,2/5/2021,BC14,8.293,2/22/2022,3,6.265,3/2/2022,BC14,14.901
217,bulk,1,CSSwP,T1U3,7/2/2021,3,31.44,41.96,40.95,0.106203996,12/13/2021,16,0.25,74.776,0.25,102.122,0.25,90.316,89.07133333, ,2/3/2021,3,2/5/2021,BC26,10.037,2/22/2022,3,4.367,3/2/2022,BC26,14.107
220,bulk,1,CSCS,T1U4,7/2/2021,4,27.64,38.13,36.99,0.121925134,10/8/2021,2,0.25,105,0.25,105,0.25,83.023,97.67433333, ,2/3/2021,3,2/5/2021,BC38,9.997,2/22/2022,3,5.406,3/2/2022,BC38,9.338
323,bulk,1,CSSwP,T1U5,7/2/2021,5,36.46,48.42,47.25,0.108433735,12/6/2021,14,0.25,73.7,0.25,104.766,0.25,105,94.48866667, ,2/3/2021,3,2/5/2021,BC50,9.811,2/22/2022,3,4.958,3/2/2022,BC50,9.338
332,bulk,1,CSCS,T1U6,7/2/2021,6,27.51,39.07,37.79,0.124513619,12/10/2021,15,0.25,102.513,0.25,105,0.25,105,104.171, ,2/3/2021,3,2/5/2021,BC62,10.5,2/22/2022,3,4.976,3/2/2022,BC62,5.894
411,bulk,1,CSSwP,T1U7,7/2/2021,7,28.37,38.71,37.75,0.102345416,12/10/2021,15,0.25,105,0.25,98.891,0.25,88.858,97.583, ,2/3/2021,3,2/5/2021,BC74,10.5,2/22/2022,3,5.442,3/2/2022,BC74,9.073
