taxon_name	ref_id	sh_id	rep	taxonomy	taxon_name_sh
1	Phyllactinia_lagerstroemiae	LC177378	SH1153327.09FU	reps	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Phyllactinia;s__Phyllactinia_lagerstroemiae	Phyllactinia_lagerstroemiae_SH1153327.09FU
2	Eukaryota_sp	UDB044902	SH1137249.09FU	reps	k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	Eukaryota_sp_SH1137249.09FU
3	Chlorophyta_sp	MF692949	SH0921600.09FU	reps	k__Viridiplantae;p__Chlorophyta;c__Chlorophyta_cls_Incertae_sedis;o__Chlorophyta_ord_Incertae_sedis;f__Chlorophyta_fam_Incertae_sedis;g__Chlorophyta_gen_Incertae_sedis;s__Chlorophyta_sp	Chlorophyta_sp_SH0921600.09FU
4	Eukaryota_sp	UDB0257922	SH1094185.09FU	reps	k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	Eukaryota_sp_SH1094185.09FU
5	Leveillula_elaeagni	AB042642	SH1028945.09FU	refs	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Leveillula;s__Leveillula_elaeagni	Leveillula_elaeagni_SH1028945.09FU
6	Acremonium_sp	UDB0836952	SH0885423.09FU	reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_sp	Acremonium_sp_SH0885423.09FU
7	Agaricales_sp	UDB0896463	SH1124928.09FU	reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricales_fam_Incertae_sedis;g__Agaricales_gen_Incertae_sedis;s__Agaricales_sp	Agaricales_sp_SH1124928.09FU
8	Pseudogymnoascus_roseus	DQ117451	SH1477560.09FU	refs	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Pseudogymnoascus;s__Pseudogymnoascus_roseus	Pseudogymnoascus_roseus_SH1477560.09FU
9	Clonostachys_rosea	AF358233	SH1077172.09FU	refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Bionectriaceae;g__Clonostachys;s__Clonostachys_rosea	Clonostachys_rosea_SH1077172.09FU
10	Onygenales_sp	HG328122	SH0945181.09FU	reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenales_fam_Incertae_sedis;g__Onygenales_gen_Incertae_sedis;s__Onygenales_sp	Onygenales_sp_SH0945181.09FU
11	Disciseda_cervina	MN338569	SH0948384.09FU	reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Lycoperdaceae;g__Disciseda;s__Disciseda_cervina	Disciseda_cervina_SH0948384.09FU
12	Sagenomella_oligospora	LT633929	SH0997120.09FU	refs	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Sagenomella;s__Sagenomella_oligospora	Sagenomella_oligospora_SH0997120.09FU
13	Humicola_nigrescens	AB625592	SH1240686.09FU	refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola;s__Humicola_nigrescens	Humicola_nigrescens_SH1240686.09FU
14	Rhizophydiales_sp	UDB06469855	SH1209399.09FU	reps	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Rhizophydiales_fam_Incertae_sedis;g__Rhizophydiales_gen_Incertae_sedis;s__Rhizophydiales_sp	Rhizophydiales_sp_SH1209399.09FU
15	Bipolaris_sp	HE820842	SH0984654.09FU	reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris;s__Bipolaris_sp	Bipolaris_sp_SH0984654.09FU
16	Eukaryota_sp	UDB0588686	SH1197856.09FU	reps	k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	Eukaryota_sp_SH1197856.09FU
17	Ascomycota_sp	UDB03395738	SH0919378.09FU	reps	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp	Ascomycota_sp_SH0919378.09FU
18	Fusarium_solani	KT899477	SH0937619.09FU	reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_solani	Fusarium_solani_SH0937619.09FU
19	Eukaryota_sp	UDB0315140	SH1191056.09FU	reps	k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	Eukaryota_sp_SH1191056.09FU
20	Cladophialophora_sp	UDB02729929	SH1069531.09FU	reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__Cladophialophora_sp	Cladophialophora_sp_SH1069531.09FU
21	Paraglomerales_sp	KY242683	SH0899019.09FU	reps	k__Fungi;p__Glomeromycota;c__Paraglomeromycetes;o__Paraglomerales;f__Paraglomerales_fam_Incertae_sedis;g__Paraglomerales_gen_Incertae_sedis;s__Paraglomerales_sp	Paraglomerales_sp_SH0899019.09FU
22	Mortierella_sp	UDB04628487	SH1204958.09FU	reps	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_sp	Mortierella_sp_SH1204958.09FU
23	Fusarium_solani	KT899449	SH0937621.09FU	reps	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_solani	Fusarium_solani_SH0937621.09FU
24	Helotiales_sp	UDB02941416	SH0962969.09FU	reps	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Helotiales_gen_Incertae_sedis;s__Helotiales_sp	Helotiales_sp_SH0962969.09FU
25	Fusarium_pseudensiforme	JF433037	SH1079718.09FU	refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_pseudensiforme	Fusarium_pseudensiforme_SH1079718.09FU
26	Chromocleista_sp	FJ430751	SH0906985.09FU	reps	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Chromocleista;s__Chromocleista_sp	Chromocleista_sp_SH0906985.09FU
27	Pleosporales_sp	HE820879	SH1205335.09FU	reps	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_fam_Incertae_sedis;g__Pleosporales_gen_Incertae_sedis;s__Pleosporales_sp	Pleosporales_sp_SH1205335.09FU
28	Fusicolla_aquaeductuum	KM231823	SH1239877.09FU	refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusicolla;s__Fusicolla_aquaeductuum	Fusicolla_aquaeductuum_SH1239877.09FU
29	Helotiales_sp	GU055724	SH0975525.09FU	refs	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Helotiales_gen_Incertae_sedis;s__Helotiales_sp	Helotiales_sp_SH0975525.09FU
30	Operculomyces_sp	UDB02585769	SH1166120.09FU	reps	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Rhizophydiales_fam_Incertae_sedis;g__Operculomyces;s__Operculomyces_sp	Operculomyces_sp_SH1166120.09FU
31	Fusarium_haematococcum	JF433035	SH1445051.09FU	refs_singleton	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium;s__Fusarium_haematococcum	Fusarium_haematococcum_SH1445051.09FU
32	Microdochium_trichocladiopsis	KP858998	SH0946077.09FU	refs	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Amphisphaeriaceae;g__Microdochium;s__Microdochium_trichocladiopsis	Microdochium_trichocladiopsis_SH0946077.09FU
33	Eukaryota_sp	UDB0595053	SH1248206.09FU	reps	k__Eukaryota_kgd_Incertae_sedis;p__Eukaryota_phy_Incertae_sedis;c__Eukaryota_cls_Incertae_sedis;o__Eukaryota_ord_Incertae_sedis;f__Eukaryota_fam_Incertae_sedis;g__Eukaryota_gen_Incertae_sedis;s__Eukaryota_sp	Eukaryota_sp_SH1248206.09FU
34	Spirotrichea_sp	UDB07210446	SH1092905.09FU	reps	k__Alveolata;p__Ciliophora;c__Spirotrichea;o__Spirotrichea_ord_Incertae_sedis;f__Spirotrichea_fam_Incertae_sedis;g__Spirotrichea_gen_Incertae_sedis;s__Spirotrichea_sp	Spirotrichea_sp_SH1092905.09FU
35	Scleractinia_sp	AB441399	SH1170870.09FU	reps	k__Metazoa;p__Cnidaria;c__Anthozoa;o__Scleractinia;f__Scleractinia_fam_Incertae_sedis;g__Scleractinia_gen_Incertae_sedis;s__Scleractinia_sp	Scleractinia_sp_SH1170870.09FU
36	Chromulinaceae_sp	UDB02003365	SH1174880.09FU	reps	k__Stramenopila;p__Ochrophyta;c__Chrysophyceae;o__Chromulinales;f__Chromulinaceae;g__Chromulinaceae_gen_Incertae_sedis;s__Chromulinaceae_sp	Chromulinaceae_sp_SH1174880.09FU
37	Ceratobasidium_sp	JX042735	SH1040686.09FU	reps	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium;s__Ceratobasidium_sp	Ceratobasidium_sp_SH1040686.09FU
38	Triscelophorus_sp	UDB06732142	SH0916782.09FU	reps	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Triscelophorus;s__Triscelophorus_sp	Triscelophorus_sp_SH0916782.09FU
39	Rhizophydiales_sp	UDB06473178	SH1209410.09FU	reps	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Rhizophydiales_fam_Incertae_sedis;g__Rhizophydiales_gen_Incertae_sedis;s__Rhizophydiales_sp	Rhizophydiales_sp_SH1209410.09FU
